p_hex8,d_hex8,ride_count
883c02990bfffff,883c029903fffff,75
883c029903fffff,883c02990bfffff,70
883c029901fffff,883c029939fffff,66
883c02993dfffff,883c029939fffff,63
883c029903fffff,883c029939fffff,62
883c029867fffff,883c029951fffff,60
883c029903fffff,883c0299a9fffff,59
883c029939fffff,883c029951fffff,59
883c029939fffff,883c029903fffff,58
883c02995bfffff,883c029951fffff,56
883c02990bfffff,883c029939fffff,55
883c029957fffff,883c029903fffff,54
883c02991dfffff,883c029903fffff,53
883c029903fffff,883c02993dfffff,50
883c029915fffff,883c029903fffff,48
883c029911fffff,883c029903fffff,47
883c029939fffff,883c02993dfffff,47
883c029b33fffff,883c029951fffff,46
883c0299edfffff,883c029939fffff,45
883cf13b03fffff,883cf13b21fffff,44
883c029903fffff,883c02991dfffff,44
883c029865fffff,883c029951fffff,44
883c029903fffff,883c029907fffff,44
883c029939fffff,883c029953fffff,43
883c029951fffff,883c029903fffff,43
883c029907fffff,883c029903fffff,43
883c0299e3fffff,883c0299a9fffff,42
883c02993bfffff,883c029951fffff,41
883c029953fffff,883c029951fffff,41
883c029867fffff,883c029953fffff,41
883c02995bfffff,883c029953fffff,40
883c029903fffff,883c029911fffff,40
883cf13945fffff,883cf13b25fffff,40
883c02993dfffff,883c029903fffff,40
883cf13b03fffff,883cf13b27fffff,39
883c029939fffff,883c02990bfffff,39
883c029903fffff,883c029915fffff,39
883c029903fffff,883c029989fffff,39
883c029917fffff,883c029939fffff,39
883c029957fffff,883c029939fffff,38
883c029903fffff,883c029957fffff,38
883c02993dfffff,883c029951fffff,38
883c029939fffff,883c029957fffff,38
883c029915fffff,883c02993dfffff,37
883c0299a9fffff,883c029903fffff,37
883c029903fffff,883c02990dfffff,36
883c029939fffff,883c0299edfffff,36
883c029939fffff,883c0299a9fffff,36
883cf13b03fffff,883cf17659fffff,36
883cf10ce1fffff,883cf10cbdfffff,36
883c02993dfffff,883c02992dfffff,35
883c02d6d9fffff,883c02993bfffff,35
883c029939fffff,883c02995bfffff,35
883c029903fffff,883c029903fffff,35
883c029915fffff,883c02991dfffff,34
883c029915fffff,883c0299edfffff,34
883c029903fffff,883c029951fffff,34
883c02982dfffff,883c029951fffff,34
883c029951fffff,883c0299a9fffff,34
883c029919fffff,883c029903fffff,34
883c029951fffff,883c02995bfffff,33
883c02993bfffff,883c02993dfffff,33
883c0299d5fffff,883c029989fffff,33
883c02991dfffff,883c02990bfffff,33
883c029953fffff,883c029939fffff,33
883c02992bfffff,883c029939fffff,33
883c0299e5fffff,883c02d6d9fffff,33
883c029939fffff,883c029935fffff,33
883c029907fffff,883c029939fffff,32
883c029939fffff,883c029915fffff,32
