p_hex8,d_hex8,ride_count
883cf13b03fffff,883cf13b21fffff,97
883cf13b03fffff,883cf13b25fffff,93
883cf13b03fffff,883cf105b9fffff,77
883cf105b9fffff,883cf13b03fffff,77
883cf13b03fffff,883cf17659fffff,75
883cf13945fffff,883cf13b25fffff,73
883cf13b03fffff,883cf13b27fffff,73
883cf13b15fffff,883cf13b21fffff,69
883cf13b15fffff,883cf13b25fffff,65
883cf13b25fffff,883cf13945fffff,64
883cf13b39fffff,883cf13b25fffff,61
883cf13b21fffff,883cf13b03fffff,60
883cf10cb5fffff,883cf13945fffff,59
883cf10c93fffff,883cf13b25fffff,59
883cf13b03fffff,883cf10583fffff,59
883cf13945fffff,883cf13b21fffff,58
883cf1396bfffff,883cf13b21fffff,58
883cf13b03fffff,883cf1394dfffff,58
883cf105b7fffff,883cf13b39fffff,58
883cf13b25fffff,883cf13b15fffff,56
883cf1396bfffff,883cf10c93fffff,55
883cf13b39fffff,883cf13b21fffff,55
883cf10ce1fffff,883cf13945fffff,55
883cf13b15fffff,883cf1394dfffff,54
883cf13b03fffff,883cf13945fffff,54
883cf13b03fffff,883cf1396bfffff,52
883cf10ca9fffff,883cf13945fffff,52
883cf13b25fffff,883cf17655fffff,51
883cf1394dfffff,883cf10cbdfffff,51
883cf105b7fffff,883cf13b03fffff,51
883cf1396bfffff,883cf13b25fffff,51
883cf13b25fffff,883cf10cb5fffff,50
883cf17659fffff,883cf13b03fffff,50
883cf13b39fffff,883cf13b27fffff,50
883cf13905fffff,883cf10c93fffff,50
883cf1396bfffff,883cf1394dfffff,49
883cf13b25fffff,883cf13b03fffff,49
883cf10c93fffff,883cf13b21fffff,49
883cf10587fffff,883cf13b03fffff,49
883cf13b39fffff,883cf10c93fffff,49
883cf13905fffff,883cf13b25fffff,49
883cf17649fffff,883cf13945fffff,49
883cf13b03fffff,883cf10c93fffff,48
883cf10cebfffff,883cf13945fffff,48
883cf10581fffff,883cf13b03fffff,48
883cf13b21fffff,883cf1396bfffff,48
883cf1394dfffff,883cf10ca3fffff,48
883cf13b21fffff,883cf13b15fffff,47
883cf17659fffff,883cf1394dfffff,47
883cf13b21fffff,883cf17659fffff,47
883cf13b15fffff,883cf13b27fffff,46
883cf10ce3fffff,883cf1394dfffff,46
883cf10c93fffff,883cf10cb5fffff,46
883cf1394dfffff,883cf13b25fffff,46
883cf1058bfffff,883cf13b03fffff,45
883cf10c97fffff,883cf17655fffff,45
883cf13b03fffff,883cf10ca7fffff,45
883cf10cabfffff,883cf17659fffff,45
883cf13b03fffff,883cf10ca3fffff,45
883cf13905fffff,883cf10c97fffff,45
883cf10cbdfffff,883cf13b25fffff,45
883cf10ca3fffff,883cf13945fffff,45
883cf10cb5fffff,883cf10c93fffff,45
883cf13969fffff,883cf13b27fffff,44
883cf10595fffff,883cf13b03fffff,44
883cf10cb5fffff,883cf1394dfffff,44
883cf13b27fffff,883cf13b39fffff,44
883cf13b27fffff,883cf13969fffff,44
883cf1396bfffff,883cf10c97fffff,44
883cf10583fffff,883cf13b03fffff,44
