pickup_hex_9,dropoff_hex_9,ride_count
893cf176217ffff,893cf17600bffff,33
893cf10e82fffff,893cf10cc47ffff,21
893cf13b20bffff,893cf139687ffff,20
893cf13b02bffff,893cf17658bffff,17
893cf13b02bffff,893cf176583ffff,17
893cf10ca57ffff,893cf139443ffff,17
893cf13b20bffff,893cf13b0b3ffff,17
893cf10ce33ffff,893cf1394dbffff,14
893cf13944fffff,893cf10ca73ffff,14
893cf13b02bffff,893cf139043ffff,14
893cf176e63ffff,893cf17656bffff,14
893cf139627ffff,893cf1394dbffff,14
893cf139053ffff,893cf10cbcfffff,13
893cf13b02fffff,893cf13b20bffff,13
893cf10eaafffff,893cf10e903ffff,13
893cf13b257ffff,893cf139687ffff,13
893cf13b397ffff,893cf13b20bffff,13
893cf1760bbffff,893cf10c973ffff,13
893cf10ce07ffff,893cf139443ffff,13
893cf17656bffff,893cf176333ffff,13
893cf13948bffff,893cf13b257ffff,12
893cf10cc27ffff,893cf13b25bffff,12
893cf10ca27ffff,893cf139443ffff,12
893cf13944fffff,893cf13b20bffff,12
893cf13b02bffff,893cf105b83ffff,12
893cf13b02bffff,893cf10ca73ffff,12
893cf13b54bffff,893cf13b20bffff,12
893cf139617ffff,893cf1394d3ffff,11
893cf13928fffff,893cf13928fffff,11
893cf13b20bffff,893cf13b02fffff,11
893cf13944fffff,893cf10ca2bffff,11
893cf13b147ffff,893cf13b20bffff,11
893cf1058c7ffff,893cf13b02bffff,11
893cf10cea7ffff,893cf139443ffff,11
893cf105873ffff,893cf13b02bffff,11
893cf10c9bbffff,893cf13b20bffff,11
893cf17659bffff,893cf13925bffff,11
893cf13944fffff,893cf13b257ffff,11
893cf13b20bffff,893cf13b6b3ffff,11
893cf10ceabffff,893cf139443ffff,11
893cf10e90bffff,893cf13b20bffff,11
893cf105827ffff,893cf105827ffff,11
893cf13b02bffff,893cf10e95bffff,11
893cf13b02fffff,893cf13b26fffff,10
893cf1765abffff,893cf13b02bffff,10
893cf1396b3ffff,893cf17658bffff,10
893cf13b02bffff,893cf1394dbffff,10
893cf10ce97ffff,893cf139443ffff,10
893cf1394dbffff,893cf139687ffff,10
893cf176e63ffff,893cf10cbcfffff,10
893cf139413ffff,893cf1394dbffff,10
893cf10c973ffff,893cf10ca73ffff,10
893cf10c9d7ffff,893cf139687ffff,10
893cf13b02bffff,893cf176033ffff,10
893cf105b03ffff,893cf13b20bffff,10
893cf10ca2fffff,893cf13b20bffff,10
893cf10eb4bffff,893cf10eb57ffff,10
893cf176347ffff,893cf17656bffff,10
893cf13b20fffff,893cf13b6b3ffff,10
893cf1392c7ffff,893cf13b257ffff,10
893cf13b397ffff,893cf13941bffff,10
893cf10d987ffff,893cf176113ffff,10
893cf105943ffff,893cf13b02bffff,10
893cf104c33ffff,893cf105863ffff,10
893cf1396b3ffff,893cf13b257ffff,10
893cf10c993ffff,893cf10cbdbffff,10
893cf1396d7ffff,893cf13b26fffff,10
893cf13b21bffff,893cf13b02bffff,10
893cf10cb4bffff,893cf1394d3ffff,10
893cf105b7bffff,893cf1059c3ffff,10
893cf13b02fffff,893cf10caafffff,10
893cf13b1cfffff,893cf1394d3ffff,10
893cf10ca8bffff,893cf139443ffff,10
893cf139047ffff,893cf10c90fffff,9
893cf13b393ffff,893cf13b20bffff,9
893cf13b02bffff,893cf105b03ffff,9
893cf13b02bffff,893cf105b07ffff,9
893cf13b02bffff,893cf10594bffff,9
893cf1764a3ffff,893cf10cb73ffff,9
893cf13904fffff,893cf534e93ffff,9
893cf1765c7ffff,893cf1394dbffff,9
893cf13b20bffff,893cf13b54bffff,9
893cf13b617ffff,893cf13b02bffff,9
893cf10eaafffff,893cf10e967ffff,9
893cf13944fffff,893cf13b063ffff,9
893cf10cd0bffff,893cf13b02fffff,9
893cf13b11bffff,893cf13b20bffff,9
893cf13b20bffff,893cf10e9b3ffff,9
893cf13b1c3ffff,893cf1394dbffff,9
893cf176483ffff,893cf139443ffff,9
893cf13b397ffff,893cf13b263ffff,9
893cf17658bffff,893cf10cb4bffff,9
893cf104a03ffff,893cf13b20bffff,9
893cf13b02fffff,893cf13b257ffff,9
893cf13b02fffff,893cf13b0b3ffff,9
893cf10c94fffff,893cf139443ffff,9
893cf10cd0fffff,893cf139443ffff,9
893cf10d92fffff,893cf13b2cfffff,9
893cf10ca63ffff,893cf17651bffff,9
893cf10e947ffff,893cf10c9bbffff,9
893cf13b6b3ffff,893cf13b20bffff,9
893cf13944fffff,893cf10ca63ffff,9
893cf13b20bffff,893cf10c9cbffff,9
893cf1760bbffff,893cf176183ffff,9
893cf139633ffff,893cf10c937ffff,9
