Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
100ft Road,"23.799495535917075, 90.44219899922044",Agargaon,"23.778368928990123, 90.37892726054524",11.21,11.21,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block A,"23.767873299704757, 90.42702936608984",5.84,5.84,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block B,"23.766876165679978, 90.42883303416174",6.06,6.06,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block C,"23.76599057441033, 90.43086163011533",6.3,6.3,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block D,"23.764350745011754, 90.43551794462489",7.89,7.89,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block E,"23.768967591654896, 90.43979727576547",7.76,7.76,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block F,"23.767646824369876, 90.44095786608983",7.58,7.58,,
100ft Road,"23.799495535917075, 90.44219899922044",Airport Railway Station,"23.85187216330197, 90.40808625149042",12.5,12.5,,
100ft Road,"23.799495535917075, 90.44219899922044",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",4.09,4.09,,
100ft Road,"23.799495535917075, 90.44219899922044",Arambagh,"23.731760422431627, 90.41892331465192",10.49,10.49,,
100ft Road,"23.799495535917075, 90.44219899922044",Ashkuna Haji Camp,"23.850536914491794, 90.41196425630297",11.24,11.24,,
100ft Road,"23.799495535917075, 90.44219899922044",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163",10.88,10.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani SuperMarket,"23.79350541605234, 90.40689722271105",4.37,4.37,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani Block J,"23.796668895469587, 90.40603147773179",4.83,4.83,,
100ft Road,"23.799495535917075, 90.44219899922044",Bangabandhu National Stadium,"23.72799213845677, 90.41316682376024",11.01,11.01,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block C,"23.81949603415762, 90.42738524683234",3.92,3.92,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block D,"23.815210726954167, 90.43302101821708",2.88,2.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block F,"23.821188569971465, 90.4332893983635",3.47,3.47,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block I,"23.82042119889173, 90.43856529566207",3.03,3.03,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara City Mall,"23.75121557936337, 90.39070746794054",11.03,11.03,,
100ft Road,"23.799495535917075, 90.44219899922044",Bijoynagar,"23.73469869947737, 90.41077232376051",9.93,9.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Chairman Bari,"23.788615672371655, 90.40060816109144",5.55,5.55,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi  Road 13A,"23.749643437271462, 90.36993975614091",13.12,13.12,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 14A,"23.750198566679202, 90.36920123869305",13.0,13.0,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 15A,"23.7523255680022, 90.37084019234493",12.67,12.67,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 16,"23.755538568281132, 90.37390856255229",11.96,11.96,,
100ft Road,"23.799495535917075, 90.44219899922044",East West University,"23.768805486749752, 90.42546167958218",5.6,5.6,,
100ft Road,"23.799495535917075, 90.44219899922044",New Eskaton,"23.74718832521819, 90.39926359648726",11.07,11.07,,
100ft Road,"23.799495535917075, 90.44219899922044",Fakirapool,"23.732659171031635, 90.41697754122195",10.29,10.29,,
100ft Road,"23.799495535917075, 90.44219899922044",Farmgate,"23.756173521829375, 90.38704401820739",10.92,10.92,,
100ft Road,"23.799495535917075, 90.44219899922044",Gulshan 2,"23.79478879910383, 90.41424260763533",4.38,4.38,,
100ft Road,"23.799495535917075, 90.44219899922044",Holy Family Red Crescent Hospital,"23.746813031560038, 90.40315885286346",9.93,9.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Kamal Ataturk,"23.794078210371698, 90.40521536212151",5.05,5.05,,
100ft Road,"23.799495535917075, 90.44219899922044",Kuril,"23.819103914136477, 90.42182338455416",6.44,6.44,,
100ft Road,"23.799495535917075, 90.44219899922044",Kurmitola,"23.849581476455512, 90.40692877671945",10.05,10.05,,
100ft Road,"23.799495535917075, 90.44219899922044",Labaid Gulshan,"23.79568677446299, 90.41290757246027",4.39,4.39,,
100ft Road,"23.799495535917075, 90.44219899922044",Lalmatia,"23.756310855321406, 90.36826726840225",12.03,12.03,,
100ft Road,"23.799495535917075, 90.44219899922044",Mohakhali DOHS,"23.78278751597978, 90.39544927255388",9.29,9.29,,
100ft Road,"23.799495535917075, 90.44219899922044",Motijheel,"23.73295803071134, 90.41707926909248",10.27,10.27,,
